% Model:                            Acoustic_Metamaterial 22-10-2025.mph
% Version:                        COMSOL 6.3.0.290
% Date:                              Jan 13 2026, 14:19
% Dimension:                    1
% Nodes:                            160
% Expressions:                1
% Description:                Global
% k_x * a_x (rad)                  Frequency (Hz)
0                                                  6.251678856357187E-5
0.16534698176788387              18.490016178288375
0.33069396353576774              36.87925506590646
0.49604094530365167              55.06624114760582
0.6613879270715355                72.94815418339445
0.8267349088394192                90.42028960348243
0.9920818906073033                107.3756870550403
1.157428872375187                  123.70499550500676
1.322775854143071                  139.29664867108974
1.4881228359109548                154.03742404930978
1.6534698176788385                167.8134472231357
1.8188167994467226                180.51167517525627
1.9841637812146067                192.02184476831766
2.1495107629824903                202.23880756805417
2.314857744750374                  211.0651004913527
2.480204726518258                  218.41354334970836
2.645551708286142                  224.20963347337673
2.810898690054026                  228.39354125662288
2.9762456718219097                230.92159486011084
3.141592653589793                  231.76724695100714
0                                                  457.3786043997673
0.16534698176788387              457.40509821566815
0.33069396353576774              457.48459272086404
0.49604094530365167              457.6170953197991
0.6613879270715355                457.8025105853779
0.8267349088394192                458.0404724805097
0.9920818906073033                458.3300988685049
1.157428872375187                  458.6696620308924
1.322775854143071                  459.0561743280922
1.4881228359109548                459.48490043978376
1.6534698176788385                459.9488289761049
1.8188167994467226                460.43816745904905
1.9841637812146067                460.9399630090468
2.1495107629824903                461.437987676331
2.314857744750374                  461.91304572276545
2.480204726518258                  462.3438382781518
2.645551708286142                  462.7084396526024
2.810898690054026                  462.98629740915885
2.9762456718219097                463.16049398450053
3.141592653589793                  463.21986147684567
0                                                  718.2518707358233
0.16534698176788387              718.2518722085496
0.33069396353576774              718.2518766186882
0.49604094530365167              718.2518839401062
0.6613879270715355                718.2518941238026
0.8267349088394192                718.2519070906519
0.9920818906073033                718.2519227203294
1.157428872375187                  718.2519408360871
1.322775854143071                  718.2519611927116
1.4881228359109548                718.2519834544985
1.6534698176788385                718.2520071820925
1.8188167994467226                718.252031818125
1.9841637812146067                718.2520566823263
2.1495107629824903                718.2520809777724
2.314857744750374                  718.2521038135436
2.480204726518258                  718.2521242469403
2.645551708286142                  718.2521413442397
2.810898690054026                  718.2521542566745
2.9762456718219097                718.2521623013977
3.141592653589793                  718.2521650343214
0                                                  1181.6507069453778
0.16534698176788387              1181.0522465932315
0.33069396353576774              1179.2750797513997
0.49604094530365167              1176.3729446701857
0.6613879270715355                1172.432518704822
0.8267349088394192                1167.5695018735248
0.9920818906073033                1161.9238456502997
1.157428872375187                  1155.6546158462309
1.322775854143071                  1148.934890218646
1.4881228359109548                1141.9469431686737
1.6534698176788385                1134.8778081302332
1.8188167994467226                1127.9151711481459
1.9841637812146067                1121.2434603824975
2.1495107629824903                1115.0399658840317
2.314857744750374                  1109.4708518987538
2.480204726518258                  1104.6870026469016
2.645551708286142                  1100.819757277424
2.810898690054026                  1097.976717833739
2.9762456718219097                1096.2379255089288
3.141592653589793                  1095.6527626618774
0                                                  1966.5675527559736
0.16534698176788387              1967.4418495129967
0.33069396353576774              1970.045094214278
0.49604094530365167              1974.3187550115579
0.6613879270715355                1980.1664289685173
0.8267349088394192                1987.4549019346796
0.9920818906073033                1996.0144140762861
1.157428872375187                  2005.63717412155
1.322775854143071                  2016.0733292096093
1.4881228359109548                2027.0243883815447
1.6534698176788385                2038.1362734394918
1.8188167994467226                2048.998846648362
1.9841637812146067                2059.1654920015158
2.1495107629824903                2068.207898886908
2.314857744750374                  2075.8016828785812
2.480204726518258                  2081.7981967992696
2.645551708286142                  2086.2264733317656
2.810898690054026                  2089.2233375386527
2.9762456718219097                2090.9453025985626
3.141592653589793                  2091.505785024973
0                                                  2115.205539544806
0.16534698176788387              2115.2055715251117
0.33069396353576774              2115.205559979847
0.49604094530365167              2115.205553345907
