% Model:              Acoustic_Metamaterial 22-10-2025.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jan 20 2026, 15:31
% Dimension:          1
% Nodes:              160
% Expressions:        1
% Description:        Global
% k_x * a_x (rad)         Frequency (Hz)
0                         7.470275125436235E-5
0.16534698176788387       18.54773880513913
0.33069396353576774       36.976816633074755
0.49604094530365167       55.168157541609446
0.6613879270715355        73.00199106399351
0.8267349088394192        90.35784166367945
0.9920818906073033        107.114913162484
1.157428872375187         123.15297317994363
1.322775854143071         138.35379909291476
1.4881228359109548        152.60317322215957
1.6534698176788385        165.79331042385186
1.8188167994467226        177.82547916125586
1.9841637812146067        188.6124676666173
2.1495107629824903        198.0804925975578
2.314857744750374         206.17018811001114
2.480204726518258         212.83646286375082
2.645551708286142         218.04724475225012
2.810898690054026         221.7813847923623
2.9762456718219097        224.02618722375374
3.141592653589793         224.7751166009541
0                         498.3039447248085
0.16534698176788387       498.4931912743123
0.33069396353576774       499.0612734081917
0.49604094530365167       500.0089581317797
0.6613879270715355        501.3366415914014
0.8267349088394192        503.0429813224262
0.9920818906073033        505.12290995916135
1.157428872375187         507.5650021931343
1.322775854143071         510.348224949777
1.4881228359109548        513.438211475013
1.6534698176788385        516.7833682902447
1.8188167994467226        520.3113388374522
1.9841637812146067        523.9265736852929
2.1495107629824903        527.50993131692
2.314857744750374         530.9212746987488
2.480204726518258         534.0058775317368
2.645551708286142         536.6051875285056
2.810898690054026         538.5724886396613
2.9762456718219097        539.7937683971157
3.141592653589793         540.2063148572332
0                         544.584274486299
0.16534698176788387       544.5843354998963
0.33069396353576774       544.5845216071416
0.49604094530365167       544.5848423261577
0.6613879270715355        544.5853146383702
0.8267349088394192        544.5859648717862
0.9920818906073033        544.5868318060074
1.157428872375187         544.5879716135653
1.322775854143071         544.589465690441
1.4881228359109548        544.5914331857532
1.6534698176788385        544.5940513414149
1.8188167994467226        544.5975889757804
1.9841637812146067        544.6024619033416
2.1495107629824903        544.6093228926725
2.314857744750374         544.6191948759514
2.480204726518258         544.6336037856387
2.645551708286142         544.6544053435055
2.810898690054026         544.6821331608221
2.9762456718219097        544.7108361430942
3.141592653589793         544.7241620003783
0                         1046.657525396265
0.16534698176788387       1045.985709212335
0.33069396353576774       1043.9864438301893
0.49604094530365167       1040.7077572009828
0.6613879270715355        1036.2280356368453
0.8267349088394192        1030.6537878237677
0.9920818906073033        1024.1169591555265
1.157428872375187         1016.772110389811
1.322775854143071         1008.793717272341
1.4881228359109548        1000.3737305745138
1.6534698176788385        991.7193757771314
1.8188167994467226        983.0509852649842
1.9841637812146067        974.5994612130719
2.1495107629824903        966.6027911635877
2.314857744750374         959.3009299108339
2.480204726518258         952.9284027846365
2.645551708286142         947.7042821290579
2.810898690054026         943.8198180286491
2.9762456718219097        941.4249167004859
3.141592653589793         940.6155837606767
0                         1977.4852297039542
0.16534698176788387       1978.330988596627
0.33069396353576774       1980.8527426155983
0.49604094530365167       1985.0042460857019
0.6613879270715355        1990.70937633259
0.8267349088394192        1997.8631524784337
0.9920818906073033        2006.3323752397728
1.157428872375187         2015.955168644708
1.322775854143071         2026.5385707251924
1.4881228359109548        2037.8532576058808
1.6534698176788385        2049.6246884031502
1.8188167994467226        2061.5210605321763
1.9841637812146067        2073.141989380323
2.1495107629824903        2084.0201551669575
2.314857744750374         2093.6597670311758
2.480204726518258         2101.632496007015
2.645551708286142         2102.419617592975
2.810898690054026         2102.4197252498348
2.9762456718219097        2102.4196800320856
3.141592653589793         2102.419670136155
0                         2102.4196093070004
0.16534698176788387       2102.4196093211303
0.33069396353576774       2102.419609326169
0.49604094530365167       2102.419609336343
0.6613879270715355        2102.419608401745
0.8267349088394192        2102.419611022764
0.9920818906073033        2102.4196094060994
1.157428872375187         2102.419609195075
1.322775854143071         2102.4196087499313
1.4881228359109548        2102.4196138122843
1.6534698176788385        2102.419614921974
1.8188167994467226        2102.419613444883
1.9841637812146067        2102.4196202830476
2.1495107629824903        2102.419619570701
2.314857744750374         2102.4197321198712
2.480204726518258         2102.4196092626553
2.645551708286142         2102.850743464884
2.810898690054026         2102.8509105063827
2.9762456718219097        2102.850837598541
3.141592653589793         2102.85082093712
0                         2102.8507314485773
0.16534698176788387       2102.850731431433
0.33069396353576774       2102.8507314333583
0.49604094530365167       2102.850731432911
0.6613879270715355        2102.8507309768784
0.8267349088394192        2102.850734281747
0.9920818906073033        2102.8507314005838
1.157428872375187         2102.8507314251447
1.322775854143071         2102.85073240282
1.4881228359109548        2102.8507319542964
1.6534698176788385        2102.8507303156543
1.8188167994467226        2102.8507366629815
1.9841637812146067        2102.8507427113573
2.1495107629824903        2102.850742308251
2.314857744750374         2102.850883227334
2.480204726518258         2102.850731465498
2.645551708286142         2107.6979565851325
2.810898690054026         2111.850783134593
2.9762456718219097        2114.236759832594
3.141592653589793         2115.011142149912
0                         2152.696541097476
0.16534698176788387       2152.726552301067
0.33069396353576774       2152.818129004977
0.49604094530365167       2152.976058435244
0.6613879270715355        2153.2088700518966
0.8267349088394192        2153.529750500837
0.9920818906073033        2153.958011431335
1.157428872375187         2154.521334444284
1.322775854143071         2155.2590714257008
1.4881228359109548        2156.226916454861
1.6534698176788385        2157.50294796035
1.8188167994467226        2159.1938410958264
1.9841637812146067        2161.4361972926527
2.1495107629824903        2164.379695147008
2.314857744750374         2168.1273315211097
2.480204726518258         2172.6141958071908
2.645551708286142         2177.465286055361
2.810898690054026         2181.956336162801
2.9762456718219097        2185.1764383301124
3.141592653589793         2186.3517253621826
