% Model:              Acoustic_Metamaterial 22-10-2025.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jan 20 2026, 14:29
% Dimension:          1
% Nodes:              140
% Expressions:        1
% Description:        Global
% k_x * a_x (rad)         Frequency (Hz)
0                         1.4444675468971882E-4
0.16534698176788387       14.414740193885082
0.33069396353576774       28.757153092669387
0.49604094530365167       42.95444246838765
0.6613879270715355        56.9328753578551
0.8267349088394192        70.61731827194575
0.9920818906073033        83.93078418887089
1.157428872375187         96.79400405287468
1.322775854143071         109.12504775376277
1.4881228359109548        120.83903677348243
1.6534698176788385        131.84801534204013
1.8188167994467226        142.06107946701653
1.9841637812146067        151.38490101385545
2.1495107629824903        159.7248186549125
2.314857744750374         166.9866814452964
2.480204726518258         173.07959638066544
2.645551708286142         177.91961683572305
2.810898690054026         181.43419647139058
2.9762456718219097        183.56694790262347
3.141592653589793         184.28197674555793
0                         417.3039534437482
0.16534698176788387       417.2294972849054
0.33069396353576774       417.0067495822541
0.49604094530365167       416.6376327222469
0.6613879270715355        416.1255509498947
0.8267349088394192        415.4756903225006
0.9920818906073033        414.69543545003467
1.157428872375187         413.7948941838364
1.322775854143071         412.7875101838531
1.4881228359109548        411.6907246910585
1.6534698176788385        410.5266209957721
1.8188167994467226        409.3224474033059
1.9841637812146067        408.11086954064837
2.1495107629824903        406.9297593781684
2.314857744750374         405.8213045735365
2.480204726518258         404.83024633835186
2.645551708286142         404.0011600879951
2.810898690054026         403.3748999451226
2.9762456718219097        402.984612274367
3.141592653589793         402.851996181247
0                         741.4448913940763
0.16534698176788387       741.4448915393735
0.33069396353576774       741.444891972496
0.49604094530365167       741.4448926856066
0.6613879270715355        741.4448936653707
0.8267349088394192        741.444894892731
0.9920818906073033        741.4448963431505
1.157428872375187         741.4448979856594
1.322775854143071         741.4448997836296
1.4881228359109548        741.4449016947522
1.6534698176788385        741.4449036706819
1.8188167994467226        741.4449056588056
1.9841637812146067        741.4449076027754
2.1495107629824903        741.4449094443618
2.314857744750374         741.4449111253997
2.480204726518258         741.4449125902312
2.645551708286142         741.4449137884237
2.810898690054026         741.4449146772097
2.9762456718219097        741.444915224109
3.141592653589793         741.4449154087026
0                         1059.465172644604
0.16534698176788387       1059.2846677756067
0.33069396353576774       1058.747914352928
0.49604094530365167       1057.869079494088
0.6613879270715355        1056.671389610266
0.8267349088394192        1055.1865613363505
0.9920818906073033        1053.4540223080312
1.157428872375187         1051.5199377570732
1.322775854143071         1049.4360618230805
1.4881228359109548        1047.258434917492
1.6534698176788385        1045.0459509374305
1.8188167994467226        1042.8588210886353
1.9841637812146067        1040.7569650518985
2.1495107629824903        1038.7983653333845
2.314857744750374         1037.0374266844742
2.480204726518258         1035.5233887572736
2.645551708286142         1034.2988455729567
2.810898690054026         1033.3984285453773
2.9762456718219097        1032.8477093711015
3.141592653589793         1032.662374057741
0                         2213.1496859515655
0.16534698176788387       2213.044145726002
0.33069396353576774       2212.735387970468
0.49604094530365167       2212.24556883562
0.6613879270715355        2211.607353389412
0.8267349088394192        2210.859023737881
0.9920818906073033        2210.03980872369
1.157428872375187         2209.186323508154
1.322775854143071         2208.3304155320843
1.4881228359109548        2207.4982704189647
1.6534698176788385        2206.710428616816
1.8188167994467226        2205.982346176052
1.9841637812146067        2205.325207647178
2.1495107629824903        2204.746795411433
2.314857744750374         2204.2523024307293
2.480204726518258         2203.8450340350464
2.645551708286142         2203.52698066722
2.810898690054026         2203.2992632002743
2.9762456718219097        2203.162461139517
3.141592653589793         2203.116836088305
0                         2348.1309696262683
0.16534698176788387       2348.846366746984
0.33069396353576774       2350.9811229782244
0.49604094530365167       2354.502409877957
0.6613879270715355        2359.359914970117
0.8267349088394192        2365.490914901087
0.9920818906073033        2372.8251401326243
1.157428872375187         2381.2884756853628
1.322775854143071         2390.805098116214
1.4881228359109548        2401.298031046395
1.6534698176788385        2412.688190364069
1.8188167994467226        2424.891778058917
1.9841637812146067        2437.8153210281635
2.1495107629824903        2451.346422997361
2.314857744750374         2465.335488281805
2.480204726518258         2479.5562999847907
2.645551708286142         2493.612820281739
2.810898690054026         2506.7016059443285
2.9762456718219097        2517.038232872936
3.141592653589793         2521.2695896766827
0                         NaN
0.16534698176788387       NaN
0.33069396353576774       NaN
0.49604094530365167       2550.9967126386355
0.6613879270715355        2550.996676658704
0.8267349088394192        2550.996703308563
0.9920818906073033        2550.99673678086
1.157428872375187         2550.9967304404386
1.322775854143071         2550.9966926944285
1.4881228359109548        2550.996719082438
1.6534698176788385        2550.9965718478566
1.8188167994467226        2550.995831591591
1.9841637812146067        2550.996725901803
2.1495107629824903        2550.9967221883894
2.314857744750374         2550.996831881619
2.480204726518258         2550.996696498965
2.645551708286142         2550.996546154291
2.810898690054026         2550.996641617265
2.9762456718219097        2550.9958621457763
3.141592653589793         2550.9967769923
